Código;Tipo de institución;Nombre de institución;"Acreditación institución 
(Al 30 de octubre 2020)";Área;Nombre carrera genérica;Nombre carrera (del título);% titulados con continuidad de estudios;Retención 1er año; Duración Real (semestres) ;Empleabilidad 1er año;Empleabilidad 2° año;Ingreso promedio al 4° año de titulación
139;Institutos Profesionales;Instituto Profesional Dr. Virginio Gómez G.;3 años;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;30.5%;s/i; 7.3 ;31.7%;42.9%;De $500 mil a $600 mil
139;Institutos Profesionales;Instituto Profesional Dr. Virginio Gómez G.;3 años;Salud;Técnico Laboratorista Dental;Técnico Laboratorista Dental;5.7%;64.0%; 6.2 ;42.4%;44.4%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Actuación y Teatro;Actuación;0.6%;65.2%; 10.0 ;15.1%;23.1%;De $600 mil a $700 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Administración de Empresas e Ing. Asociadas;Ingeniería en Administración e Ingeniería en Gestión Comercial;3.9%;82.1%; 10.1 ;80.7%;83.4%;De $900 mil a $1 millón
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Administración Gastronómica;Gastronomía Internacional;2.9%;80.9%; 10.6 ;42.9%;53.5%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Administración Turística y Hotelera;Administración Turística, Turismo y Hotelería, Ecoturismo e Ingeniería en Administración Hotelera;2.8%;79.3%; 9.0 ;41.1%;54.1%;De $600 mil a $700 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Animación Digital;Animación Digital;1.9%;82.5%; 10.3 ;40.6%;41.8%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Comunicación Audiovisual y/o Multimedia;Comunicación Audiovisual;2.6%;82.2%; 9.9 ;46.2%;52.0%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Contador Auditor;Auditoría;2.1%;81.7%; 10.6 ;85.8%;89.1%;De $1 millón a $1 millón 100 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Diseño de Ambientes e Interiores;Diseño de Ambientes;3.0%;78.9%; 10.8 ;46.8%;63.3%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Diseño de Vestuario;Diseño de Vestuario;1.9%;78.0%; 10.6 ;49.5%;48.5%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Diseño Gráfico;Diseño Gráfico;1.7%;80.6%; 10.7 ;49.7%;61.8%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Diseño Industrial;Diseño Industrial;5.2%;72.4%; 12.6 ;50.6%;61.5%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Agropecuaria;Ingeniería Agrícola;Ingeniería Agrícola;6.0%;84.8%; 10.6 ;53.4%;68.0%;De $600 mil a $700 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Automatización, Instrumentación y Control;Ingeniería en Automatización de Procesos Industriales;3.0%;s/i; s/i ;82.7%;90.9%;De $1 millón 300 mil a $1 millón 400 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Ingeniería en Comercio Exterior;Ingeniería en Comercio Exterior;3.3%;85.2%; 9.3 ;74.1%;83.9%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Computación e Informática;Ingeniería en Informática;1.4%;79.7%; 11.1 ;88.5%;92.2%;De $1 millón 300 mil a $1 millón 400 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Conectividad y Redes;Ingeniería en Conectividad y Redes;1.3%;85.7%; 11.3 ;86.4%;89.1%;De $1 millón 200 mil a $1 millón 300 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Construcción;Ingeniería en Construcción;1.5%;81.1%; 12.0 ;71.8%;80.7%;De $1 millón a $1 millón 100 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Electricidad;Ingeniería en Electricidad y Electrónica, y Electricidad y Automatización Industrial;1.3%;83.4%; 11.0 ;80.4%;86.2%;De $1 millón 100 mil a $1 millón 200 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Ingeniería en Logística;Ingeniería en Gestión Logística;1.7%;86.2%; 9.6 ;89.1%;89.4%;De $1 millón a $1 millón 100 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Ingeniería en Marketing;Ingeniería en Marketing;2.6%;80.3%; 9.6 ;68.0%;75.6%;De $900 mil a $1 millón
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica Automotriz y Autotrónica, e Ingeniería en Maquinarias y Vehículos Pesados;1.7%;80.5%; 11.2 ;76.6%;81.7%;De $900 mil a $1 millón
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Medio Ambiente;Ingeniería en Medio Ambiente;2.2%;80.7%; 9.8 ;53.2%;63.2%;De $900 mil a $1 millón
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Prevención de Riesgos;Ingeniería en Prevención de Riesgos;2.8%;76.1%; 10.6 ;54.5%;70.8%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Ingeniería en Recursos Humanos;Ingeniería en Administración de Recursos Humanos;2.4%;87.6%; 9.8 ;76.6%;83.4%;De $900 mil a $1 millón
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Ingeniería en Sonido;Ingeniería en Sonido;5.8%;78.6%; 9.8 ;40.7%;51.1%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Ciencias Sociales;Publicidad;Publicidad;2.0%;77.8%; 9.5 ;64.8%;70.4%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Ciencias Sociales;Relaciones Públicas;Relaciones Públicas;3.9%;80.2%; 9.2 ;48.1%;62.7%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Agropecuaria;Técnico Agropecuario;Técnico Agrícola;18.7%;64.3%; 6.9 ;29.6%;46.5%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Salud;Técnico Dental y Asistente de Odontología;Técnico en Odontología;6.9%;82.3%; 5.5 ;54.5%;62.1%;De $400 mil a $500 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;32.4%;73.2%; 6.0 ;53.0%;62.4%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Administración de Recursos Humanos y Personal;Técnico en Administración de Recursos Humanos;37.5%;78.6%; 5.8 ;65.4%;73.4%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Administración de Redes y Soporte;Técnico en Administración de Redes Computacionales;29.9%;77.0%; 7.0 ;66.6%;75.0%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Administración de Ventas;Técnico en Gestión Comercial y en Administración de Ventas;27.7%;s/i; s/i ;75.9%;81.1%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Administración Financiera y Finanzas;Técnico en Administración Financiera;32.5%;76.5%; 5.9 ;68.4%;77.6%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Alimentos;Técnico en Calidad y Seguridad Agroalimentaria;4.3%;82.6%; 6.2 ;60.3%;64.5%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Comercio Exterior;Técnico en Comercio Exterior;24.5%;74.1%; 5.5 ;75.2%;81.2%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Computación e Informática;Técnico Analista Programador Computacional;27.2%;71.6%; 7.3 ;78.7%;82.9%;De $900 mil a $1 millón
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Técnico en Comunicación Audiovisual;Técnico Audiovisual;8.7%;69.8%; 7.1 ;34.1%;47.2%;De $600 mil a $700 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Construcción y Obras Civiles;Técnico en Construcción;27.8%;70.6%; 6.9 ;60.6%;65.9%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Contabilidad Tributaria;Contabilidad General Mención Tributaria  ;47.8%;76.5%; 5.8 ;74.3%;79.1%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Educación;Técnico en Deporte, Recreación y Preparación Física;Preparador Físico;12.7%;70.2%; 6.2 ;32.5%;42.9%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Técnico en Dibujo Arquitectónico;Dibujo Arquitectónico y Estructural;11.3%;61.8%; 6.8 ;69.0%;75.7%;De $600 mil a $700 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Técnico en Diseño Gráfico;Técnico en Diseño Gráfico;8.9%;s/i; 6.9 ;40.2%;55.1%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Electricidad y Automatización Industrial;21.0%;69.7%; 6.2 ;73.2%;78.8%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Electromecánica;Técnico en Mantenimiento Electromecánico;12.2%;64.4%; 6.5 ;68.3%;74.5%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Salud;Técnico en Enfermería;Técnico en Enfermería;8.7%;84.7%; 5.7 ;56.7%;63.1%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Salud;Técnico en Farmacia;Técnico en Química y Farmacia;9.6%;82.1%; 5.8 ;78.9%;89.5%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Gastronomía y Cocina;Técnico en Gastronomía;4.4%;77.7%; 5.9 ;36.4%;44.1%;De $400 mil a $500 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Ciencias Básicas;Técnico en Geología;Técnico en Geología y Control en Sondaje;16.3%;80.3%; 6.2 ;47.6%;55.8%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Salud;Técnico en Laboratorio Clínico;Técnico de Laboratorio Clínico y Banco de Sangre;10.3%;92.8%; 5.7 ;52.6%;62.9%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Logística;Técnico en Gestión Logística;37.0%;68.4%; 5.8 ;80.0%;87.4%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Mantenimiento Industrial;Técnico Maquinaria y Vehículos Pesados y en Mantenimiento Industrial ;20.3%;76.8%; 6.8 ;71.5%;76.4%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Mecánica Automotriz;Técnico en Mecánica Automotriz y Autotrónica;19.9%;73.3%; 6.9 ;57.8%;69.9%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Minería y Metalurgia;Técnico en Mantenimiento Predictivo Mención Minería;21.0%;s/i; s/i ;60.0%;67.4%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Salud;Técnico en Nutrición y Dietética;Técnico en Nutrición y Dietética;12.9%;s/i; 5.6 ;45.9%;50.7%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;24.9%;66.7%; 7.8 ;44.5%;57.7%;De $600 mil a $700 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Arte y Arquitectura;Técnico en Producción Gráfica y Multimedia;Técnico en Producción WEB, y en Desarrollo y Diseño WEB;4.5%;66.7%; s/i ;72.3%;71.9%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Ciencias Sociales;Técnico en Publicidad;Publicidad Técnica;10.0%;s/i; 6.6 ;50.5%;74.7%;s/i
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Salud;Técnico en Radiología y Radioterapia;Técnico de Radiodiagnóstico y Radioterapia;7.7%;84.0%; 5.9 ;57.4%;73.6%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Sonido;Tecnología en Sonido;9.6%;67.6%; 6.8 ;31.0%;44.6%;De $600 mil a $700 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Telecomunicaciones;Técnico en Telecomunicaciones;21.4%;s/i; 7.3 ;70.8%;79.1%;De $700 mil a $800 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Tecnología;Técnico en Topografía;Técnico en Topografía;14.0%;68.6%; 6.5 ;73.1%;74.6%;De $800 mil a $900 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Administración y Comercio;Técnico en Turismo y Hotelería;Turismo Técnico, Turismo Aventura y Administración Hotelera;5.3%;72.6%; 5.9 ;39.6%;39.8%;De $500 mil a $600 mil
111;Institutos Profesionales;Instituto Profesional Duoc UC;7 años;Agropecuaria;Técnico Veterinario;Técnico Veterinario;12.4%;83.7%; 6.4 ;33.9%;42.3%;De $400 mil a $500 mil
137;Institutos Profesionales;Instituto Profesional EATRI Instituto Profesional;2 años;Humanidades;Técnico en Traducción e Interpretariado;Técnico en Interpretación de Enlace Inglés-Castellano;10.2%;48.2%; 6.5 ;45.5%;55.9%;De $600 mil a $700 mil
137;Institutos Profesionales;Instituto Profesional EATRI Instituto Profesional;2 años;Humanidades;Traducción e Interpretación;Traducción e Interpretariado;11.3%;57.9%; 11.1 ;41.7%;64.3%;De $700 mil a $800 mil
104;Institutos Profesionales;Instituto Profesional Escuela de Contadores Auditores de Santiago;4 años;Administración y Comercio;Contador Auditor;Contador Auditor;1.0%;68.9%; 12.9 ;91.9%;95.1%;De $1 millón 200 mil a $1 millón 300 mil
104;Institutos Profesionales;Instituto Profesional Escuela de Contadores Auditores de Santiago;4 años;Administración y Comercio;Técnico en Contabilidad General;Contador Técnico de Nivel Superior;32.6%;s/i; s/i ;77.5%;88.2%;De $900 mil a $1 millón
129;Institutos Profesionales;Instituto Profesional Escuela Moderna de Música;4 años;Arte y Arquitectura;Música, Canto o Danza;Intérprete Instrumental, Musical y Especialista en Arreglos;5.5%;59.0%; 11.4 ;29.1%;44.4%;s/i
132;Institutos Profesionales;Instituto Profesional ESUCOMEX;5 años;Administración y Comercio;Contador Auditor;Contador Auditor y Auditoría;3.4%;71.9%; s/i ;88.7%;n/a;s/i
132;Institutos Profesionales;Instituto Profesional ESUCOMEX;5 años;Administración y Comercio;Secretariado Bilingüe;Secretariado y Asistente Ejecutivo Bilingüe;8.6%;s/i; s/i ;55.4%;62.9%;s/i
132;Institutos Profesionales;Instituto Profesional ESUCOMEX;5 años;Administración y Comercio;Técnico en Administración de Recursos Humanos y Personal;Técnico en Gestión de Recursos Humanos;39.7%;67.1%; 6.9 ;65.9%;78.3%;s/i
132;Institutos Profesionales;Instituto Profesional ESUCOMEX;5 años;Administración y Comercio;Técnico en Comercio Exterior;Técnico en Comercio Exterior;19.2%;60.6%; 7.5 ;85.7%;86.5%;De $800 mil a $900 mil
132;Institutos Profesionales;Instituto Profesional ESUCOMEX;5 años;Administración y Comercio;Técnico en Contabilidad General;Contabilidad General;32.6%;54.9%; 6.6 ;81.5%;89.7%;De $800 mil a $900 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Administración y Comercio;Administración Gastronómica;Administración Gastronómica Internacional;4.4%;78.9%; 10.4 ;43.6%;52.6%;De $600 mil a $700 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Administración y Comercio;Administración Turística y Hotelera;Administración de Hoteles y Restaurantes, Administración de Empresas Turísticas y Administración Turística Internacional;2.6%;78.9%; 10.7 ;50.5%;60.0%;De $600 mil a $700 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Construcción Civil;Construcción Civil;13.3%;76.2%; 11.1 ;63.2%;74.2%;De $900 mil a $1 millón
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Arte y Arquitectura;Diseño de Vestuario;Diseño de Vestuario y de Moda;1.1%;74.7%; 10.8 ;44.0%;52.3%;De $700 mil a $800 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Arte y Arquitectura;Diseño Gráfico;Diseño Gráfico Profesional;1.7%;77.0%; 10.4 ;44.6%;51.3%;De $600 mil a $700 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Agropecuaria;Ingeniería Agrícola;Ingeniería Agrícola e Ingeniería en Producción Ganadera;5.3%;81.4%; 10.7 ;55.1%;68.8%;De $700 mil a $800 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Administración y Comercio;Ingeniería en Comercio Exterior;Ingeniería en Negocios Internacionales y Comercio Exterior;2.3%;71.2%; 9.8 ;81.2%;86.1%;De $900 mil a $1 millón
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería en Geomensura y Cartografía;Ingeniería en Geomensura ;0.0%;79.7%; 11.5 ;75.0%;76.3%;s/i
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria, Vehículos Automotrices y Sistemas Eléctricos;2.5%;77.0%; 11.6 ;70.8%;80.4%;De $900 mil a $1 millón
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería en Minas y Metalurgia;Ingeniería en Minas y en Metalurgia;7.0%;71.3%; 11.7 ;65.2%;77.1%;De $1 millón 100 mil a $1 millón 200 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería en Prevención de Riesgos;Ingeniería en Prevención de Riesgos, Calidad y Ambiente;2.7%;70.6%; 11.2 ;55.7%;69.7%;De $800 mil a $900 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería en Química;Ingeniería en Química Industrial;1.1%;76.0%; 10.7 ;79.3%;82.8%;De $900 mil a $1 millón
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería en Refrigeración y Climatización;Ingeniería en Refrigeración y en Climatización;4.6%;74.4%; 9.5 ;90.2%;92.8%;De $1 millón 200 mil a $1 millón 300 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería en Telecomunicaciones;Ingeniería en Telecomunicaciones, Conectividad y Redes;1.3%;77.1%; 12.0 ;81.1%;88.2%;De $1 millón 100 mil a $1 millón 200 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería Industrial;Ingeniería en Administración Industrial y Proyectos Industriales;2.3%;s/i; s/i ;84.0%;85.9%;De $1 millón a $1 millón 100 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Tecnología;Ingeniería Mecánica;Ingeniería Mecánica en Mantenimiento Industrial y en Producción Industrial;2.3%;73.8%; 10.9 ;77.0%;84.3%;De $1 millón a $1 millón 100 mil
100;Institutos Profesionales;Instituto Profesional INACAP;6 años;Ciencias Sociales;Publicidad;Publicidad;0.8%;s/i; s/i ;61.9%;73.1%;De $700 mil a $800 mil
103;Institutos Profesionales;Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux;5 años;Administración y Comercio;Administración de Empresas e Ing. Asociadas;Ingeniería en Administración de Empresas Financieras;1.3%;74.8%; 11.6 ;80.4%;79.5%;s/i
103;Institutos Profesionales;Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux;5 años;Administración y Comercio;Contador Auditor;Contador Auditor;4.0%;77.2%; 11.0 ;87.1%;92.9%;De $1 millón 200 mil a $1 millón 300 mil
103;Institutos Profesionales;Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux;5 años;Administración y Comercio;Ingeniería en Finanzas;Ingeniería Financiera;2.7%;71.8%; 11.0 ;80.9%;89.3%;De $1 millón 200 mil a $1 millón 300 mil
103;Institutos Profesionales;Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux;5 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas Financieras;40.5%;76.1%; 5.9 ;56.8%;64.8%;De $700 mil a $800 mil
103;Institutos Profesionales;Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux;5 años;Administración y Comercio;Técnico en Administración Financiera y Finanzas;Técnico Financiero y en Operaciones Financieras Bancarias;41.3%;64.6%; 6.3 ;61.5%;67.2%;De $800 mil a $900 mil
103;Institutos Profesionales;Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux;5 años;Administración y Comercio;Técnico en Contabilidad General;Contador de Empresas Financieras;55.8%;s/i; 6.4 ;73.7%;75.9%;De $800 mil a $900 mil
676;Institutos Profesionales;Instituto Profesional Instituto Internacional de Artes Culinarias y Servicios;2 años;Administración y Comercio;Administración Gastronómica;Administración de Artes Culinarias y Servicios;1.8%;65.9%; 10.4 ;36.6%;49.7%;De $600 mil a $700 mil
676;Institutos Profesionales;Instituto Profesional Instituto Internacional de Artes Culinarias y Servicios;2 años;Administración y Comercio;Administración Turística y Hotelera;Administración de Empresas Hoteleras y Servicios;6.9%;s/i; s/i ;49.0%;52.0%;s/i
193;Institutos Profesionales;Instituto Profesional Instituto Nacional del Fútbol;3 años;Educación;Técnico en Deporte, Recreación y Preparación Física;Técnico y Árbitro de Futbol;13.7%;65.5%; 7.3 ;57.3%;69.6%;De $600 mil a $700 mil
117;Institutos Profesionales;Instituto Profesional Instituto Superior de Artes y Ciencias de la Comunicación;2 años;Tecnología;Ingeniería en Prevención de Riesgos;Ingeniería en Prevención de Riesgos;1.9%;72.3%; s/i ;90.6%;87.9%;De $1 millón 200 mil a $1 millón 300 mil
117;Institutos Profesionales;Instituto Profesional Instituto Superior de Artes y Ciencias de la Comunicación;2 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico Superior en Administración de Empresas;20.4%;53.5%; 7.3 ;80.4%;78.0%;s/i
117;Institutos Profesionales;Instituto Profesional Instituto Superior de Artes y Ciencias de la Comunicación;2 años;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;25.6%;51.3%; 7.4 ;74.1%;86.7%;s/i
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Educación;Técnico Asistente del Educador de Párvulos;Técnico de Nivel Superior en Educación Parvularia;10.8%;74.8%; 5.2 ;30.4%;45.6%;De $400 mil a $500 mil
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Educación;Técnico Asistente del Educador Diferencial;Técnico de Nivel Superior en Educación Diferencial;18.9%;77.0%; 5.4 ;23.1%;34.4%;s/i
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico de Nivel Superior en Administración General;39.4%;60.6%; 5.5 ;55.3%;62.2%;De $600 mil a $700 mil
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Tecnología;Técnico en Construcción y Obras Civiles;Técnico de Nivel Superior en Construcción Civil;43.6%;51.8%; 6.3 ;69.5%;66.1%;s/i
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Salud;Técnico en Enfermería;Técnico en Enfermería;1.5%;59.9%; 6.2 ;35.1%;52.3%;De $500 mil a $600 mil
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Arte y Arquitectura;Técnico en Peluquería y Estética;Técnico de Nivel en Estética Integral;4.5%;63.0%; 6.3 ;25.0%;33.3%;s/i
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Tecnología;Técnico en Prevención de Riesgos;Técnico de Nivel Superior en Prevención de Riesgos;41.2%;40.7%; s/i ;47.8%;52.1%;De $600 mil a $700 mil
113;Institutos Profesionales;Instituto Profesional IPG;3 años;Ciencias Sociales;Técnico en Servicio Social;Técnico de Nivel Superior en Servicio Social;19.6%;74.7%; 5.6 ;26.3%;39.6%;s/i
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Administración y Comercio;Administración de Empresas e Ing. Asociadas;Ingeniería en Gestión de Empresas;3.3%;s/i; s/i ;78.3%;84.6%;De $800 mil a $900 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Administración y Comercio;Contador Auditor;Contador Auditor;2.4%;s/i; s/i ;86.4%;87.9%;De $900 mil a $1 millón
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Tecnología;Ingeniería en Computación e Informática;Ingeniería en Computación e Informática;2.5%;s/i; s/i ;86.1%;86.1%;De $1 millón a $1 millón 100 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Tecnología;Ingeniería en Construcción;Ingeniería en Construcción;1.4%;s/i; s/i ;69.5%;69.0%;s/i
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Tecnología;Ingeniería en Prevención de Riesgos;Ingeniería en Prevención de Riesgos;2.5%;s/i; s/i ;65.0%;72.9%;De $800 mil a $900 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Administración y Comercio;Ingeniería en Recursos Humanos;Ingeniería en Gestión de Recursos Humanos;2.4%;s/i; s/i ;76.0%;85.9%;De $700 mil a $800 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Tecnología;Ingeniería Industrial;Ingeniería Industrial;2.9%;s/i; s/i ;84.4%;93.5%;De $1 millón 100 mil a $1 millón 200 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Educación;Psicopedagogía;Psicopedagogía;23.9%;s/i; s/i ;55.9%;71.8%;De $700 mil a $800 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Educación;Técnico Asistente del Educador de Párvulos;Asistente de Educación Parvularia y Básica y Técnico en Educación Parvularia;7.1%;s/i; s/i ;34.3%;48.5%;De $400 mil a $500 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Educación;Técnico Asistente del Educador Diferencial;Técnico en Educación Especial y Asistente en Educación Diferencial;18.5%;s/i; s/i ;18.9%;37.9%;De $400 mil a $500 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;18.9%;s/i; s/i ;69.0%;74.7%;De $600 mil a $700 mil
126;Institutos Profesionales;Instituto Profesional La Araucana;No;Tecnología;Técnico en Alimentos;Técnico en Alimentos;3.9%;s/i; s/i ;63.6%;59.5%;s/i
